"Statistic Label","CensusYear","Sex","Age Group","Towns","UNIT","VALUE"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Tullow, Co Carlow","Number","4"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Carlow, Counties Carlow & Laois","Number","26"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Muinebeag (Bagenalstown), Co Carlow","Number","3"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Dublin city and suburbs, Counties Dublin & Meath","Number","878"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Saggart, Co Dublin","Number","4"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Rathcoole, Co Dublin","Number","4"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Newcastle, Co Dublin","Number","8"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Rush, Co Dublin","Number","11"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Skerries, Co Dublin","Number","7"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Portmarnock, Co Dublin","Number","4"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Donabate, Co Dublin","Number","6"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Malahide, Co Dublin","Number","11"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Lusk, Co Dublin","Number","6"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Balrothery, Co Dublin","Number","5"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Balbriggan, Co Dublin","Number","21"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Kinsealy-Drinan, Co Dublin","Number","7"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Swords, Co Dublin","Number","25"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Leixlip, Co Kildare","Number","11"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Celbridge, Co Kildare","Number","13"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Kill, Co Kildare","Number","3"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Maynooth, Co Kildare","Number","10"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Naas, Co Kildare","Number","26"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Sallins, Co Kildare","Number","4"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Kilcock, Counties Kildare & Meath","Number","5"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Clane, Co Kildare","Number","9"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Kilcullen, Co Kildare","Number","4"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Prosperous, Co Kildare","Number","3"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Newbridge, Co Kildare","Number","14"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Castledermot, Co Kildare","Number","1"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Allenwood, Co Kildare","Number","0"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Kildare, Co Kildare","Number","6"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Derrinturn, Co Kildare","Number","4"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Athy, Co Kildare","Number","11"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Rathangan, Co Kildare","Number","6"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Monasterevin, Co Kildare","Number","8"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Graiguenamanagh-Tinnahinch, Counties Kilkenny & Carlow","Number","0"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Thomastown, Co Kilkenny","Number","1"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Kilkenny, Co Kilkenny","Number","20"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Callan, Co Kilkenny","Number","2"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Portarlington, Counties Laois & Offaly","Number","10"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Portlaoise, Co Laois","Number","33"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Mountmellick, Co Laois","Number","6"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Abbeyleix, Co Laois","Number","2"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Mountrath, Co Laois","Number","2"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Edgeworthstown, Co Longford","Number","3"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Ballymahon, Co Longford","Number","0"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Longford, Co Longford","Number","14"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Lanesborough-Ballyleague, Counties Roscommon & Longford","Number","3"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Carlingford, Co Louth","Number","2"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Clogherhead, Co Louth","Number","4"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Termonfeckin, Co Louth","Number","2"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Drogheda, Counties Louth & Meath","Number","45"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Dunleer, Co Louth","Number","1"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Dundalk, Co Louth","Number","45"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Tullyallen, Co Louth","Number","2"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Ardee, Co Louth","Number","2"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Laytown-Bettystown-Mornington-Donacarney, Co Meath","Number","12"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Stamullen, Co Meath","Number","4"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Ashbourne, Co Meath","Number","10"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Duleek, Co Meath","Number","5"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Ratoath, Co Meath","Number","9"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Dunboyne, Co Meath","Number","6"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Dunshaughlin, Co Meath","Number","7"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Navan, Co Meath","Number","36"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Trim, Co Meath","Number","12"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Enfield, Co Meath","Number","1"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Kells, Co Meath","Number","7"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Athboy, Co Meath","Number","3"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Longwood, Co Meath","Number","3"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Ballivor, Co Meath","Number","4"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Edenderry, Co Offaly","Number","9"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Tullamore, Co Offaly","Number","16"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Clara, Co Offaly","Number","7"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Birr, Co Offaly","Number","5"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Banagher, Co Offaly","Number","0"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Kinnegad, Co Westmeath","Number","1"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Killucan-Rathwire, Co Westmeath","Number","0"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Mullingar, Co Westmeath","Number","27"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Kilbeggan, Co Westmeath","Number","4"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Moate, Co Westmeath","Number","0"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Athlone, Counties Westmeath & Roscommon","Number","23"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Courtown, Co Wexford","Number","5"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Gorey, Co Wexford","Number","13"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Rosslare Harbour, Co Wexford","Number","0"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Rosslare, Co Wexford","Number","1"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Castlebridge, Co Wexford","Number","2"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Wexford, Co Wexford","Number","14"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Enniscorthy, Co Wexford","Number","15"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Bunclody, Counties Wexford & Carlow","Number","5"
"Population with a disability to a great extent","2022","Male","0 - 4 years","New Ross, Wexford & Kilkenny","Number","9"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Wicklow, Co Wicklow","Number","15"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Kilcoole, Co Wicklow","Number","3"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Greystones-Delgany, Co Wicklow","Number","15"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Rathnew, Co Wicklow","Number","5"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Newtownmountkennedy, Co Wicklow","Number","8"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Ashford, Co Wicklow","Number","1"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Bray, Counties Wicklow & Dublin","Number","23"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Arklow, Co Wicklow","Number","12"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Enniskerry, Co Wicklow","Number","1"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Rathdrum, Co Wicklow","Number","5"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Blessington, Counties Wicklow & Kildare","Number","4"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Baltinglass, Co Wicklow","Number","0"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Killaloe, Co Clare","Number","0"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Sixmilebridge, Co Clare","Number","3"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Shannon, Co Clare","Number","9"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Newmarket-On-Fergus, Co Clare","Number","1"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Ennis, Co Clare","Number","25"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Kilrush, Co Clare","Number","3"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Cork city and suburbs, Co Cork","Number","184"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Blarney, Co Cork","Number","2"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Tower, Co Cork","Number","0"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Youghal, Co Cork","Number","9"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Castlemartyr, Co Cork","Number","0"
"Population with a disability to a great extent","2022","Male","0 - 4 years","Cloyne, Co Cork","Number","4"
