"Statistic Label","CensusYear","Sex","Administrative Counties","UNIT","VALUE"
"Blindness or vision impairment to greater extent","2022","Both sexes","Ireland","Number","30965"
"Blindness or vision impairment to greater extent","2022","Both sexes","Carlow County Council","Number","362"
"Blindness or vision impairment to greater extent","2022","Both sexes","Dublin City Council","Number","3867"
"Blindness or vision impairment to greater extent","2022","Both sexes","Dún Laoghaire Rathdown County Council","Number","1229"
"Blindness or vision impairment to greater extent","2022","Both sexes","Fingal County Council","Number","1521"
"Blindness or vision impairment to greater extent","2022","Both sexes","South Dublin County Council","Number","1684"
"Blindness or vision impairment to greater extent","2022","Both sexes","Kildare County Council","Number","1233"
"Blindness or vision impairment to greater extent","2022","Both sexes","Kilkenny County Council","Number","619"
"Blindness or vision impairment to greater extent","2022","Both sexes","Laois County Council","Number","569"
"Blindness or vision impairment to greater extent","2022","Both sexes","Longford County Council","Number","349"
"Blindness or vision impairment to greater extent","2022","Both sexes","Louth County Council","Number","966"
"Blindness or vision impairment to greater extent","2022","Both sexes","Meath County Council","Number","1122"
"Blindness or vision impairment to greater extent","2022","Both sexes","Offaly County Council","Number","575"
"Blindness or vision impairment to greater extent","2022","Both sexes","Westmeath County Council","Number","579"
"Blindness or vision impairment to greater extent","2022","Both sexes","Wexford County Council","Number","1090"
"Blindness or vision impairment to greater extent","2022","Both sexes","Wicklow County Council","Number","930"
"Blindness or vision impairment to greater extent","2022","Both sexes","Clare County Council","Number","766"
"Blindness or vision impairment to greater extent","2022","Both sexes","Cork City Council","Number","1566"
"Blindness or vision impairment to greater extent","2022","Both sexes","Cork County Council","Number","2004"
"Blindness or vision impairment to greater extent","2022","Both sexes","Kerry County Council","Number","986"
"Blindness or vision impairment to greater extent","2022","Both sexes","Limerick City & County Council","Number","1378"
"Blindness or vision impairment to greater extent","2022","Both sexes","Tipperary County Council","Number","1074"
"Blindness or vision impairment to greater extent","2022","Both sexes","Waterford City & County Council","Number","734"
"Blindness or vision impairment to greater extent","2022","Both sexes","Galway City Council","Number","542"
"Blindness or vision impairment to greater extent","2022","Both sexes","Galway County Council","Number","1099"
"Blindness or vision impairment to greater extent","2022","Both sexes","Leitrim County Council","Number","236"
"Blindness or vision impairment to greater extent","2022","Both sexes","Mayo  County Council","Number","929"
"Blindness or vision impairment to greater extent","2022","Both sexes","Roscommon County Council","Number","473"
"Blindness or vision impairment to greater extent","2022","Both sexes","Sligo County Council","Number","441"
"Blindness or vision impairment to greater extent","2022","Both sexes","Cavan County Council","Number","493"
"Blindness or vision impairment to greater extent","2022","Both sexes","Donegal County Council","Number","1144"
"Blindness or vision impairment to greater extent","2022","Both sexes","Monaghan County Council","Number","405"
"Blindness or vision impairment to greater extent","2022","Male","Ireland","Number","14973"
"Blindness or vision impairment to greater extent","2022","Male","Carlow County Council","Number","170"
"Blindness or vision impairment to greater extent","2022","Male","Dublin City Council","Number","1887"
"Blindness or vision impairment to greater extent","2022","Male","Dún Laoghaire Rathdown County Council","Number","525"
"Blindness or vision impairment to greater extent","2022","Male","Fingal County Council","Number","717"
