"Statistic Label","CensusYear","Sex","Single Year of Age","UNIT","VALUE"
"Persons with a disability to a great extent","2022","Both sexes","Under 1 year","Number","681"
"Persons with a disability to a great extent","2022","Both sexes","1 year","Number","748"
"Persons with a disability to a great extent","2022","Both sexes","2 years","Number","1130"
"Persons with a disability to a great extent","2022","Both sexes","3 years","Number","1618"
"Persons with a disability to a great extent","2022","Both sexes","4 years","Number","1921"
"Persons with a disability to a great extent","2022","Both sexes","5 years","Number","2098"
"Persons with a disability to a great extent","2022","Both sexes","6 years","Number","2466"
"Persons with a disability to a great extent","2022","Both sexes","7 years","Number","2594"
"Persons with a disability to a great extent","2022","Both sexes","8 years","Number","2846"
"Persons with a disability to a great extent","2022","Both sexes","9 years","Number","3025"
"Persons with a disability to a great extent","2022","Both sexes","10 years","Number","3131"
"Persons with a disability to a great extent","2022","Both sexes","11 years","Number","3246"
"Persons with a disability to a great extent","2022","Both sexes","12 years","Number","3350"
"Persons with a disability to a great extent","2022","Both sexes","13 years","Number","3490"
"Persons with a disability to a great extent","2022","Both sexes","14 years","Number","3502"
"Persons with a disability to a great extent","2022","Both sexes","15 years","Number","3497"
"Persons with a disability to a great extent","2022","Both sexes","16 years","Number","3491"
"Persons with a disability to a great extent","2022","Both sexes","17 years","Number","3698"
"Persons with a disability to a great extent","2022","Both sexes","18 years","Number","3951"
"Persons with a disability to a great extent","2022","Both sexes","19 years","Number","3926"
"Persons with a disability to a great extent","2022","Both sexes","20 years","Number","3893"
"Persons with a disability to a great extent","2022","Both sexes","21 years","Number","3613"
"Persons with a disability to a great extent","2022","Both sexes","22 years","Number","3685"
"Persons with a disability to a great extent","2022","Both sexes","23 years","Number","3487"
"Persons with a disability to a great extent","2022","Both sexes","24 years","Number","3361"
"Persons with a disability to a great extent","2022","Both sexes","25 years","Number","3256"
"Persons with a disability to a great extent","2022","Both sexes","26 years","Number","3159"
"Persons with a disability to a great extent","2022","Both sexes","27 years","Number","3087"
"Persons with a disability to a great extent","2022","Both sexes","28 years","Number","2989"
"Persons with a disability to a great extent","2022","Both sexes","29 years","Number","2937"
"Persons with a disability to a great extent","2022","Both sexes","30 years","Number","3007"
"Persons with a disability to a great extent","2022","Both sexes","31 years","Number","2986"
"Persons with a disability to a great extent","2022","Both sexes","32 years","Number","2956"
"Persons with a disability to a great extent","2022","Both sexes","33 years","Number","2770"
