"Statistic Label","Census Year","Sex","Type of difficulty or condition","Extent of difficulty or condition","Intermediate Occupational Group","UNIT","VALUE"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","All occupational groups","Number","7486"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Corporate managers and directors","Number","302"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Other managers and proprietors","Number","151"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Science, research, engineering and technology professionals","Number","318"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Health professionals","Number","234"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Teaching and educational professionals","Number","241"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Business, media and public service professionals","Number","334"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Science, engineering and technology associate professionals","Number","157"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Health and social care associate professionals","Number","80"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Protective service occupations","Number","28"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Culture, media and sports occupations","Number","110"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Business and public service associate professionals","Number","339"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Administrative occupations","Number","614"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Secretarial and related occupations","Number","102"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Skilled agricultural and related trades","Number","209"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Skilled metal, electrical and electronic trades","Number","237"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Skilled construction and building trades","Number","209"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Textiles, printing and other skilled trades","Number","219"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Caring personal service occupations","Number","424"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Leisure, travel and related personal service occupations","Number","152"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Sales occupations","Number","478"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Customer service occupations","Number","157"
"Population aged 15 years and over in the labour force with a disability","2022","Both sexes","Blindness or vision impairment","Great Extent","Process, plant and machine operatives","Number","291"
