"Statistic Label","Census Year","Sex","Type of difficulty or condition","Extent of difficulty or condition","Intermediate Occupational Group","UNIT","VALUE"
"Population aged 15 years and over in the labour force with a disability","2022","Male","Total persons with a disability","Great Extent","All occupational groups","Number","42023"
"Population aged 15 years and over in the labour force with a disability","2022","Male","Total persons with a disability","Great Extent","Corporate managers and directors","Number","1769"
"Population aged 15 years and over in the labour force with a disability","2022","Male","Total persons with a disability","Great Extent","Other managers and proprietors","Number","879"
"Population aged 15 years and over in the labour force with a disability","2022","Male","Total persons with a disability","Great Extent","Science, research, engineering and technology professionals","Number","1944"
"Population aged 15 years and over in the labour force with a disability","2022","Male","Total persons with a disability","Great Extent","Health professionals","Number","452"
"Population aged 15 years and over in the labour force with a disability","2022","Male","Total persons with a disability","Great Extent","Teaching and educational professionals","Number","719"
"Population aged 15 years and over in the labour force with a disability","2022","Male","Total persons with a disability","Great Extent","Business, media and public service professionals","Number","1557"
"Population aged 15 years and over in the labour force with a disability","2022","Male","Total persons with a disability","Great Extent","Science, engineering and technology associate professionals","Number","1048"
"Population aged 15 years and over in the labour force with a disability","2022","Male","Total persons with a disability","Great Extent","Health and social care associate professionals","Number","276"
"Population aged 15 years and over in the labour force with a disability","2022","Male","Total persons with a disability","Great Extent","Protective service occupations","Number","425"
"Population aged 15 years and over in the labour force with a disability","2022","Male","Total persons with a disability","Great Extent","Culture, media and sports occupations","Number","730"
"Population aged 15 years and over in the labour force with a disability","2022","Male","Total persons with a disability","Great Extent","Business and public service associate professionals","Number","1832"
"Population aged 15 years and over in the labour force with a disability","2022","Male","Total persons with a disability","Great Extent","Administrative occupations","Number","2013"
"Population aged 15 years and over in the labour force with a disability","2022","Male","Total persons with a disability","Great Extent","Secretarial and related occupations","Number","124"
"Population aged 15 years and over in the labour force with a disability","2022","Male","Total persons with a disability","Great Extent","Skilled agricultural and related trades","Number","2253"
"Population aged 15 years and over in the labour force with a disability","2022","Male","Total persons with a disability","Great Extent","Skilled metal, electrical and electronic trades","Number","2251"
"Population aged 15 years and over in the labour force with a disability","2022","Male","Total persons with a disability","Great Extent","Skilled construction and building trades","Number","2327"
"Population aged 15 years and over in the labour force with a disability","2022","Male","Total persons with a disability","Great Extent","Textiles, printing and other skilled trades","Number","1529"
"Population aged 15 years and over in the labour force with a disability","2022","Male","Total persons with a disability","Great Extent","Caring personal service occupations","Number","814"
"Population aged 15 years and over in the labour force with a disability","2022","Male","Total persons with a disability","Great Extent","Leisure, travel and related personal service occupations","Number","645"
"Population aged 15 years and over in the labour force with a disability","2022","Male","Total persons with a disability","Great Extent","Sales occupations","Number","1981"
"Population aged 15 years and over in the labour force with a disability","2022","Male","Total persons with a disability","Great Extent","Customer service occupations","Number","567"
"Population aged 15 years and over in the labour force with a disability","2022","Male","Total persons with a disability","Great Extent","Process, plant and machine operatives","Number","2105"
"Population aged 15 years and over in the labour force with a disability","2022","Male","Total persons with a disability","Great Extent","Transport and mobile machine drivers and operatives","Number","2522"
"Population aged 15 years and over in the labour force with a disability","2022","Male","Total persons with a disability","Great Extent","Elementary trades and related occupations","Number","1606"
"Population aged 15 years and over in the labour force with a disability","2022","Male","Total persons with a disability","Great Extent","Elementary administration and service occupations","Number","3649"
"Population aged 15 years and over in the labour force with a disability","2022","Male","Total persons with a disability","Great Extent","Other occupation/occupation not stated","Number","6006"
"Population aged 15 years and over in the labour force with a disability","2022","Female","Total persons with a disability","Great Extent","All occupational groups","Number","39671"
"Population aged 15 years and over in the labour force with a disability","2022","Female","Total persons with a disability","Great Extent","Corporate managers and directors","Number","1279"
"Population aged 15 years and over in the labour force with a disability","2022","Female","Total persons with a disability","Great Extent","Other managers and proprietors","Number","712"
"Population aged 15 years and over in the labour force with a disability","2022","Female","Total persons with a disability","Great Extent","Science, research, engineering and technology professionals","Number","843"
"Population aged 15 years and over in the labour force with a disability","2022","Female","Total persons with a disability","Great Extent","Health professionals","Number","1913"
"Population aged 15 years and over in the labour force with a disability","2022","Female","Total persons with a disability","Great Extent","Teaching and educational professionals","Number","2035"
"Population aged 15 years and over in the labour force with a disability","2022","Female","Total persons with a disability","Great Extent","Business, media and public service professionals","Number","1638"
"Population aged 15 years and over in the labour force with a disability","2022","Female","Total persons with a disability","Great Extent","Science, engineering and technology associate professionals","Number","507"
"Population aged 15 years and over in the labour force with a disability","2022","Female","Total persons with a disability","Great Extent","Health and social care associate professionals","Number","697"
"Population aged 15 years and over in the labour force with a disability","2022","Female","Total persons with a disability","Great Extent","Protective service occupations","Number","144"
"Population aged 15 years and over in the labour force with a disability","2022","Female","Total persons with a disability","Great Extent","Culture, media and sports occupations","Number","785"
"Population aged 15 years and over in the labour force with a disability","2022","Female","Total persons with a disability","Great Extent","Business and public service associate professionals","Number","1924"
"Population aged 15 years and over in the labour force with a disability","2022","Female","Total persons with a disability","Great Extent","Administrative occupations","Number","4795"
"Population aged 15 years and over in the labour force with a disability","2022","Female","Total persons with a disability","Great Extent","Secretarial and related occupations","Number","1234"
"Population aged 15 years and over in the labour force with a disability","2022","Female","Total persons with a disability","Great Extent","Skilled agricultural and related trades","Number","196"
"Population aged 15 years and over in the labour force with a disability","2022","Female","Total persons with a disability","Great Extent","Skilled metal, electrical and electronic trades","Number","90"
"Population aged 15 years and over in the labour force with a disability","2022","Female","Total persons with a disability","Great Extent","Skilled construction and building trades","Number","40"
"Population aged 15 years and over in the labour force with a disability","2022","Female","Total persons with a disability","Great Extent","Textiles, printing and other skilled trades","Number","781"
"Population aged 15 years and over in the labour force with a disability","2022","Female","Total persons with a disability","Great Extent","Caring personal service occupations","Number","4320"
"Population aged 15 years and over in the labour force with a disability","2022","Female","Total persons with a disability","Great Extent","Leisure, travel and related personal service occupations","Number","1308"
"Population aged 15 years and over in the labour force with a disability","2022","Female","Total persons with a disability","Great Extent","Sales occupations","Number","3560"
"Population aged 15 years and over in the labour force with a disability","2022","Female","Total persons with a disability","Great Extent","Customer service occupations","Number","987"
"Population aged 15 years and over in the labour force with a disability","2022","Female","Total persons with a disability","Great Extent","Process, plant and machine operatives","Number","856"
"Population aged 15 years and over in the labour force with a disability","2022","Female","Total persons with a disability","Great Extent","Transport and mobile machine drivers and operatives","Number","109"
"Population aged 15 years and over in the labour force with a disability","2022","Female","Total persons with a disability","Great Extent","Elementary trades and related occupations","Number","276"
