"Statistic Label","CensusYear","Sex","Single Year of Age","UNIT","VALUE"
"Blindness or vision impairment to greater extent","2022","Both sexes","Under 1 year","Number","58"
"Blindness or vision impairment to greater extent","2022","Both sexes","1 year","Number","68"
"Blindness or vision impairment to greater extent","2022","Both sexes","2 years","Number","85"
"Blindness or vision impairment to greater extent","2022","Both sexes","3 years","Number","116"
"Blindness or vision impairment to greater extent","2022","Both sexes","4 years","Number","119"
"Blindness or vision impairment to greater extent","2022","Both sexes","5 years","Number","138"
"Blindness or vision impairment to greater extent","2022","Both sexes","6 years","Number","195"
"Blindness or vision impairment to greater extent","2022","Both sexes","7 years","Number","213"
"Blindness or vision impairment to greater extent","2022","Both sexes","8 years","Number","205"
"Blindness or vision impairment to greater extent","2022","Both sexes","9 years","Number","222"
"Blindness or vision impairment to greater extent","2022","Both sexes","10 years","Number","247"
"Blindness or vision impairment to greater extent","2022","Both sexes","11 years","Number","221"
"Blindness or vision impairment to greater extent","2022","Both sexes","12 years","Number","224"
"Blindness or vision impairment to greater extent","2022","Both sexes","13 years","Number","271"
"Blindness or vision impairment to greater extent","2022","Both sexes","14 years","Number","235"
"Blindness or vision impairment to greater extent","2022","Both sexes","15 years","Number","244"
"Blindness or vision impairment to greater extent","2022","Both sexes","16 years","Number","253"
"Blindness or vision impairment to greater extent","2022","Both sexes","17 years","Number","253"
"Blindness or vision impairment to greater extent","2022","Both sexes","18 years","Number","271"
"Blindness or vision impairment to greater extent","2022","Both sexes","19 years","Number","262"
"Blindness or vision impairment to greater extent","2022","Both sexes","20 years","Number","315"
"Blindness or vision impairment to greater extent","2022","Both sexes","21 years","Number","282"
"Blindness or vision impairment to greater extent","2022","Both sexes","22 years","Number","266"
"Blindness or vision impairment to greater extent","2022","Both sexes","23 years","Number","278"
"Blindness or vision impairment to greater extent","2022","Both sexes","24 years","Number","281"
"Blindness or vision impairment to greater extent","2022","Both sexes","25 years","Number","252"
"Blindness or vision impairment to greater extent","2022","Both sexes","26 years","Number","268"
"Blindness or vision impairment to greater extent","2022","Both sexes","27 years","Number","241"
"Blindness or vision impairment to greater extent","2022","Both sexes","28 years","Number","192"
"Blindness or vision impairment to greater extent","2022","Both sexes","29 years","Number","221"
"Blindness or vision impairment to greater extent","2022","Both sexes","30 years","Number","244"
"Blindness or vision impairment to greater extent","2022","Both sexes","31 years","Number","250"
"Blindness or vision impairment to greater extent","2022","Both sexes","32 years","Number","237"
"Blindness or vision impairment to greater extent","2022","Both sexes","33 years","Number","217"
"Blindness or vision impairment to greater extent","2022","Both sexes","34 years","Number","237"
"Blindness or vision impairment to greater extent","2022","Both sexes","35 years","Number","253"
"Blindness or vision impairment to greater extent","2022","Both sexes","36 years","Number","270"
"Blindness or vision impairment to greater extent","2022","Both sexes","37 years","Number","271"
"Blindness or vision impairment to greater extent","2022","Both sexes","38 years","Number","266"
"Blindness or vision impairment to greater extent","2022","Both sexes","39 years","Number","294"
"Blindness or vision impairment to greater extent","2022","Both sexes","40 years","Number","264"
"Blindness or vision impairment to greater extent","2022","Both sexes","41 years","Number","261"
"Blindness or vision impairment to greater extent","2022","Both sexes","42 years","Number","314"
"Blindness or vision impairment to greater extent","2022","Both sexes","43 years","Number","261"
"Blindness or vision impairment to greater extent","2022","Both sexes","44 years","Number","317"
"Blindness or vision impairment to greater extent","2022","Both sexes","45 years","Number","295"
"Blindness or vision impairment to greater extent","2022","Both sexes","46 years","Number","303"
"Blindness or vision impairment to greater extent","2022","Both sexes","47 years","Number","275"
"Blindness or vision impairment to greater extent","2022","Both sexes","48 years","Number","301"
"Blindness or vision impairment to greater extent","2022","Both sexes","49 years","Number","353"
"Blindness or vision impairment to greater extent","2022","Both sexes","50 years","Number","341"
"Blindness or vision impairment to greater extent","2022","Both sexes","51 years","Number","343"
"Blindness or vision impairment to greater extent","2022","Both sexes","52 years","Number","361"
"Blindness or vision impairment to greater extent","2022","Both sexes","53 years","Number","332"
"Blindness or vision impairment to greater extent","2022","Both sexes","54 years","Number","374"
"Blindness or vision impairment to greater extent","2022","Both sexes","55 years","Number","327"
"Blindness or vision impairment to greater extent","2022","Both sexes","56 years","Number","318"
"Blindness or vision impairment to greater extent","2022","Both sexes","57 years","Number","347"
"Blindness or vision impairment to greater extent","2022","Both sexes","58 years","Number","420"
"Blindness or vision impairment to greater extent","2022","Both sexes","59 years","Number","363"
"Blindness or vision impairment to greater extent","2022","Both sexes","60 years","Number","348"
"Blindness or vision impairment to greater extent","2022","Both sexes","61 years","Number","355"
"Blindness or vision impairment to greater extent","2022","Both sexes","62 years","Number","357"
"Blindness or vision impairment to greater extent","2022","Both sexes","63 years","Number","353"
"Blindness or vision impairment to greater extent","2022","Both sexes","64 years","Number","361"
"Blindness or vision impairment to greater extent","2022","Both sexes","65 years","Number","355"
"Blindness or vision impairment to greater extent","2022","Both sexes","66 years","Number","393"
"Blindness or vision impairment to greater extent","2022","Both sexes","67 years","Number","387"
"Blindness or vision impairment to greater extent","2022","Both sexes","68 years","Number","381"
"Blindness or vision impairment to greater extent","2022","Both sexes","69 years","Number","433"
"Blindness or vision impairment to greater extent","2022","Both sexes","70 years","Number","370"
"Blindness or vision impairment to greater extent","2022","Both sexes","71 years","Number","433"
"Blindness or vision impairment to greater extent","2022","Both sexes","72 years","Number","453"
"Blindness or vision impairment to greater extent","2022","Both sexes","73 years","Number","439"
"Blindness or vision impairment to greater extent","2022","Both sexes","74 years","Number","447"
"Blindness or vision impairment to greater extent","2022","Both sexes","75 years","Number","474"
"Blindness or vision impairment to greater extent","2022","Both sexes","76 years","Number","458"
"Blindness or vision impairment to greater extent","2022","Both sexes","77 years","Number","484"
"Blindness or vision impairment to greater extent","2022","Both sexes","78 years","Number","499"
"Blindness or vision impairment to greater extent","2022","Both sexes","79 years","Number","521"
"Blindness or vision impairment to greater extent","2022","Both sexes","80 years","Number","480"
"Blindness or vision impairment to greater extent","2022","Both sexes","81 years","Number","529"
"Blindness or vision impairment to greater extent","2022","Both sexes","82 years","Number","516"
"Blindness or vision impairment to greater extent","2022","Both sexes","83 years","Number","512"
"Blindness or vision impairment to greater extent","2022","Both sexes","84 years","Number","490"
"Blindness or vision impairment to greater extent","2022","Both sexes","85 years","Number","531"
"Blindness or vision impairment to greater extent","2022","Both sexes","86 years","Number","507"
"Blindness or vision impairment to greater extent","2022","Both sexes","87 years","Number","520"
"Blindness or vision impairment to greater extent","2022","Both sexes","88 years","Number","481"
"Blindness or vision impairment to greater extent","2022","Both sexes","89 years","Number","434"
"Blindness or vision impairment to greater extent","2022","Both sexes","90 years","Number","386"
"Blindness or vision impairment to greater extent","2022","Both sexes","91 years","Number","374"
"Blindness or vision impairment to greater extent","2022","Both sexes","92 years","Number","284"
"Blindness or vision impairment to greater extent","2022","Both sexes","93 years","Number","249"
"Blindness or vision impairment to greater extent","2022","Both sexes","94 years","Number","211"
"Blindness or vision impairment to greater extent","2022","Both sexes","95 years","Number","187"
"Blindness or vision impairment to greater extent","2022","Both sexes","96 years","Number","136"
"Blindness or vision impairment to greater extent","2022","Both sexes","97 years","Number","110"
