"Statistic Label","Census Year","Sex","Age Group","UNIT","VALUE"
"Population","2022","Both sexes","15 - 19 years","Number","337628"
"Population","2022","Both sexes","15 years and over","Number","4136852"
"Population","2022","Both sexes","20 - 24 years","Number","307143"
"Population","2022","Both sexes","25 - 29 years","Number","295808"
"Population","2022","Both sexes","30 - 34 years","Number","332223"
"Population","2022","Both sexes","35 - 39 years","Number","382869"
"Population","2022","Both sexes","40 - 44 years","Number","411524"
"Population","2022","Both sexes","45 - 49 years","Number","373504"
"Population","2022","Both sexes","50 - 54 years","Number","340003"
"Population","2022","Both sexes","55 - 59 years","Number","307165"
"Population","2022","Both sexes","60 - 64 years","Number","272670"
"Population","2022","Both sexes","65 years and over","Number","776315"
"Population","2022","Male","15 - 19 years","Number","172342"
"Population","2022","Male","15 years and over","Number","2026557"
"Population","2022","Male","20 - 24 years","Number","155446"
"Population","2022","Male","25 - 29 years","Number","147398"
"Population","2022","Male","30 - 34 years","Number","160517"
"Population","2022","Male","35 - 39 years","Number","183212"
"Population","2022","Male","40 - 44 years","Number","200561"
"Population","2022","Male","45 - 49 years","Number","185174"
"Population","2022","Male","50 - 54 years","Number","169993"
"Population","2022","Male","55 - 59 years","Number","151899"
"Population","2022","Male","60 - 64 years","Number","134431"
"Population","2022","Male","65 years and over","Number","365584"
"Population","2022","Female","15 - 19 years","Number","165286"
"Population","2022","Female","15 years and over","Number","2110295"
"Population","2022","Female","20 - 24 years","Number","151697"
"Population","2022","Female","25 - 29 years","Number","148410"
"Population","2022","Female","30 - 34 years","Number","171706"
"Population","2022","Female","35 - 39 years","Number","199657"
"Population","2022","Female","40 - 44 years","Number","210963"
"Population","2022","Female","45 - 49 years","Number","188330"
"Population","2022","Female","50 - 54 years","Number","170010"
"Population","2022","Female","55 - 59 years","Number","155266"
"Population","2022","Female","60 - 64 years","Number","138239"
"Population","2022","Female","65 years and over","Number","410731"
"Population with any disability","2022","Both sexes","15 - 19 years","Number","2291"
"Population with any disability","2022","Both sexes","15 years and over","Number","53865"
"Population with any disability","2022","Both sexes","20 - 24 years","Number","5581"
"Population with any disability","2022","Both sexes","25 - 29 years","Number","5788"
"Population with any disability","2022","Both sexes","30 - 34 years","Number","5321"
"Population with any disability","2022","Both sexes","35 - 39 years","Number","5145"
"Population with any disability","2022","Both sexes","40 - 44 years","Number","5682"
"Population with any disability","2022","Both sexes","45 - 49 years","Number","5689"
"Population with any disability","2022","Both sexes","50 - 54 years","Number","5923"
"Population with any disability","2022","Both sexes","55 - 59 years","Number","5868"
"Population with any disability","2022","Both sexes","60 - 64 years","Number","5221"
"Population with any disability","2022","Both sexes","65 years and over","Number","1356"
"Population with any disability","2022","Male","15 - 19 years","Number","1272"
"Population with any disability","2022","Male","15 years and over","Number","29886"
"Population with any disability","2022","Male","20 - 24 years","Number","3028"
"Population with any disability","2022","Male","25 - 29 years","Number","3135"
"Population with any disability","2022","Male","30 - 34 years","Number","2823"
"Population with any disability","2022","Male","35 - 39 years","Number","2781"
"Population with any disability","2022","Male","40 - 44 years","Number","3048"
"Population with any disability","2022","Male","45 - 49 years","Number","3116"
"Population with any disability","2022","Male","50 - 54 years","Number","3421"
"Population with any disability","2022","Male","55 - 59 years","Number","3380"
"Population with any disability","2022","Male","60 - 64 years","Number","3101"
"Population with any disability","2022","Male","65 years and over","Number","781"
"Population with any disability","2022","Female","15 - 19 years","Number","1019"
"Population with any disability","2022","Female","15 years and over","Number","23979"
"Population with any disability","2022","Female","20 - 24 years","Number","2553"
"Population with any disability","2022","Female","25 - 29 years","Number","2653"
"Population with any disability","2022","Female","30 - 34 years","Number","2498"
"Population with any disability","2022","Female","35 - 39 years","Number","2364"
"Population with any disability","2022","Female","40 - 44 years","Number","2634"
"Population with any disability","2022","Female","45 - 49 years","Number","2573"
"Population with any disability","2022","Female","50 - 54 years","Number","2502"
"Population with any disability","2022","Female","55 - 59 years","Number","2488"
"Population with any disability","2022","Female","60 - 64 years","Number","2120"
"Population with any disability","2022","Female","65 years and over","Number","575"
"Population with a disability to a great extent","2022","Both sexes","15 - 19 years","Number","770"
"Population with a disability to a great extent","2022","Both sexes","15 years and over","Number","17997"
"Population with a disability to a great extent","2022","Both sexes","20 - 24 years","Number","1850"
"Population with a disability to a great extent","2022","Both sexes","25 - 29 years","Number","1920"
"Population with a disability to a great extent","2022","Both sexes","30 - 34 years","Number","1681"
"Population with a disability to a great extent","2022","Both sexes","35 - 39 years","Number","1672"
"Population with a disability to a great extent","2022","Both sexes","40 - 44 years","Number","1954"
"Population with a disability to a great extent","2022","Both sexes","45 - 49 years","Number","1997"
"Population with a disability to a great extent","2022","Both sexes","50 - 54 years","Number","1981"
"Population with a disability to a great extent","2022","Both sexes","55 - 59 years","Number","1961"
"Population with a disability to a great extent","2022","Both sexes","60 - 64 years","Number","1653"
"Population with a disability to a great extent","2022","Both sexes","65 years and over","Number","558"
"Population with a disability to a great extent","2022","Male","15 - 19 years","Number","409"
"Population with a disability to a great extent","2022","Male","15 years and over","Number","10014"
"Population with a disability to a great extent","2022","Male","20 - 24 years","Number","966"
"Population with a disability to a great extent","2022","Male","25 - 29 years","Number","1030"
"Population with a disability to a great extent","2022","Male","30 - 34 years","Number","918"
"Population with a disability to a great extent","2022","Male","35 - 39 years","Number","944"
"Population with a disability to a great extent","2022","Male","40 - 44 years","Number","1034"
"Population with a disability to a great extent","2022","Male","45 - 49 years","Number","1134"
"Population with a disability to a great extent","2022","Male","50 - 54 years","Number","1148"
"Population with a disability to a great extent","2022","Male","55 - 59 years","Number","1148"
"Population with a disability to a great extent","2022","Male","60 - 64 years","Number","985"
"Population with a disability to a great extent","2022","Male","65 years and over","Number","298"
"Population with a disability to a great extent","2022","Female","15 - 19 years","Number","361"
"Population with a disability to a great extent","2022","Female","15 years and over","Number","7983"
"Population with a disability to a great extent","2022","Female","20 - 24 years","Number","884"
"Population with a disability to a great extent","2022","Female","25 - 29 years","Number","890"
"Population with a disability to a great extent","2022","Female","30 - 34 years","Number","763"
"Population with a disability to a great extent","2022","Female","35 - 39 years","Number","728"
"Population with a disability to a great extent","2022","Female","40 - 44 years","Number","920"
"Population with a disability to a great extent","2022","Female","45 - 49 years","Number","863"
"Population with a disability to a great extent","2022","Female","50 - 54 years","Number","833"
"Population with a disability to a great extent","2022","Female","55 - 59 years","Number","813"
"Population with a disability to a great extent","2022","Female","60 - 64 years","Number","668"
"Population with a disability to a great extent","2022","Female","65 years and over","Number","260"
"Population with a disability to some extent","2022","Both sexes","15 - 19 years","Number","1521"
"Population with a disability to some extent","2022","Both sexes","15 years and over","Number","35868"
"Population with a disability to some extent","2022","Both sexes","20 - 24 years","Number","3731"
"Population with a disability to some extent","2022","Both sexes","25 - 29 years","Number","3868"
"Population with a disability to some extent","2022","Both sexes","30 - 34 years","Number","3640"
"Population with a disability to some extent","2022","Both sexes","35 - 39 years","Number","3473"
"Population with a disability to some extent","2022","Both sexes","40 - 44 years","Number","3728"
"Population with a disability to some extent","2022","Both sexes","45 - 49 years","Number","3692"
"Population with a disability to some extent","2022","Both sexes","50 - 54 years","Number","3942"
"Population with a disability to some extent","2022","Both sexes","55 - 59 years","Number","3907"
"Population with a disability to some extent","2022","Both sexes","60 - 64 years","Number","3568"
"Population with a disability to some extent","2022","Both sexes","65 years and over","Number","798"
"Population with a disability to some extent","2022","Male","15 - 19 years","Number","863"
"Population with a disability to some extent","2022","Male","15 years and over","Number","19872"
"Population with a disability to some extent","2022","Male","20 - 24 years","Number","2062"
"Population with a disability to some extent","2022","Male","25 - 29 years","Number","2105"
"Population with a disability to some extent","2022","Male","30 - 34 years","Number","1905"
"Population with a disability to some extent","2022","Male","35 - 39 years","Number","1837"
"Population with a disability to some extent","2022","Male","40 - 44 years","Number","2014"
"Population with a disability to some extent","2022","Male","45 - 49 years","Number","1982"
"Population with a disability to some extent","2022","Male","50 - 54 years","Number","2273"
"Population with a disability to some extent","2022","Male","55 - 59 years","Number","2232"
"Population with a disability to some extent","2022","Male","60 - 64 years","Number","2116"
"Population with a disability to some extent","2022","Male","65 years and over","Number","483"
"Population with a disability to some extent","2022","Female","15 - 19 years","Number","658"
"Population with a disability to some extent","2022","Female","15 years and over","Number","15996"
"Population with a disability to some extent","2022","Female","20 - 24 years","Number","1669"
"Population with a disability to some extent","2022","Female","25 - 29 years","Number","1763"
"Population with a disability to some extent","2022","Female","30 - 34 years","Number","1735"
"Population with a disability to some extent","2022","Female","35 - 39 years","Number","1636"
"Population with a disability to some extent","2022","Female","40 - 44 years","Number","1714"
"Population with a disability to some extent","2022","Female","45 - 49 years","Number","1710"
"Population with a disability to some extent","2022","Female","50 - 54 years","Number","1669"
"Population with a disability to some extent","2022","Female","55 - 59 years","Number","1675"
"Population with a disability to some extent","2022","Female","60 - 64 years","Number","1452"
"Population with a disability to some extent","2022","Female","65 years and over","Number","315"
"Umemployment rate for total population","2022","Both sexes","15 - 19 years","%","24.2"
"Umemployment rate for total population","2022","Both sexes","15 years and over","%","8.3"
"Umemployment rate for total population","2022","Both sexes","20 - 24 years","%","13.5"
"Umemployment rate for total population","2022","Both sexes","25 - 29 years","%","9.6"
"Umemployment rate for total population","2022","Both sexes","30 - 34 years","%","8.4"
